|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|  lineitem|       0|        5|l_extendedprice|           float|               63142|   Dictionary|  FixedSize2ByteAligned|       383734|             0|           11730765|                 0|         416974|           11730765|
|  lineitem|       0|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         408734|           11730765|
|  lineitem|       0|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       0|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|            178|            5898150|
|  lineitem|       0|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|            178|            5898150|
|  lineitem|       0|       10|     l_shipdate|          string|                  80|   Dictionary|  FixedSize1ByteAligned|        68863|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       0|       11|   l_commitdate|          string|                 138|   Dictionary|  FixedSize1ByteAligned|        71183|             0|              65535|            310957|         828535|             376492|
|  lineitem|       0|       12|  l_receiptdate|          string|                 108|   Dictionary|  FixedSize1ByteAligned|        69983|             0|              65535|            310957|         828535|             376492|
|  lineitem|       0|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             25920|              0|              69935|
|  lineitem|       0|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            183867|              0|              76535|
|  lineitem|       0|       15|      l_comment|          string|               63743|   Dictionary|  FixedSize2ByteAligned|      4314310|             0|              65535|                 0|              0|              65535|
|  lineitem|       1|        0|     l_orderkey|             int|               40832|    TurboPFOR|                   NULL|       182407|             0|           90634905|            743881|        3492409|                  0|
|  lineitem|       1|        1|      l_partkey|             int|               56074|    TurboPFOR|                   NULL|       149206|             0|          215479080|            407399|         660734|                  0|
|  lineitem|       1|        2|      l_suppkey|             int|                9988|    TurboPFOR|                   NULL|       116438|             0|            7995270|            168241|        2580219|                  0|
|  lineitem|       1|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       1|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1595|           10682205|              6066|         598749|           10708281|
|  lineitem|       1|        5|l_extendedprice|           float|               63046|   Dictionary|  FixedSize2ByteAligned|       383350|             0|           11730765|                 0|         417596|           11730765|
|  lineitem|       1|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         408836|           11730765|
|  lineitem|       1|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       1|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       1|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       1|       10|     l_shipdate|          string|                  34|   Dictionary|  FixedSize1ByteAligned|        67023|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       1|       11|   l_commitdate|          string|                 171|   Dictionary|  FixedSize1ByteAligned|        72503|             0|              65535|            312175|         906613|             377710|
|  lineitem|       1|       12|  l_receiptdate|          string|                  63|   Dictionary|  FixedSize1ByteAligned|        68183|             0|              65535|            312175|         906613|             377710|
|  lineitem|       1|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             24326|              0|              69935|
|  lineitem|       1|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            182173|              0|              76535|
|  lineitem|       1|       15|      l_comment|          string|               63652|   Dictionary|  FixedSize2ByteAligned|      4316906|             0|              65535|                 0|              0|              65535|
|  lineitem|       2|        0|     l_orderkey|             int|               44634|    TurboPFOR|                   NULL|       181755|             0|           90634905|            802878|        3365957|                  0|
|  lineitem|       2|        1|      l_partkey|             int|               56124|    TurboPFOR|                   NULL|       149206|             0|          215479080|            406782|         645231|                  0|
|  lineitem|       2|        2|      l_suppkey|             int|                9984|    TurboPFOR|                   NULL|       116438|             0|            7995270|            196020|        2573940|                  0|
|  lineitem|       2|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       2|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1549|           10682205|              7471|         599985|           10711203|
|  lineitem|       2|        5|l_extendedprice|           float|               63116|   Dictionary|  FixedSize2ByteAligned|       383630|             0|           11730765|                 0|         416625|           11730765|
|  lineitem|       2|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         408432|           11730765|
|  lineitem|       2|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       2|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       2|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       2|       10|     l_shipdate|          string|                  28|   Dictionary|  FixedSize1ByteAligned|        66783|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       2|       11|   l_commitdate|          string|                 197|   Dictionary|  FixedSize1ByteAligned|        73543|             0|              65535|            311401|         929164|             376936|
|  lineitem|       2|       12|  l_receiptdate|          string|                  57|   Dictionary|  FixedSize1ByteAligned|        67943|             0|              65535|            311401|         929164|             376936|
|  lineitem|       2|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             26210|              0|              69935|
|  lineitem|       2|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            176442|              0|              76535|
|  lineitem|       2|       15|      l_comment|          string|               63723|   Dictionary|  FixedSize2ByteAligned|      4320131|             0|              65535|                 0|              0|              65535|
|  lineitem|       3|        0|     l_orderkey|             int|               44851|    TurboPFOR|                   NULL|       181572|             0|           90634905|            802696|        3358303|                  0|
|  lineitem|       3|        1|      l_partkey|             int|               55844|    TurboPFOR|                   NULL|       149206|             0|          215479080|            406330|         632678|                  0|
|  lineitem|       3|        2|      l_suppkey|             int|                9987|    TurboPFOR|                   NULL|       116438|             0|            7995270|            198183|        2573535|                  0|
|  lineitem|       3|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       3|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          2288|           10682205|              5789|         599247|           10711791|
|  lineitem|       3|        5|l_extendedprice|           float|               63075|   Dictionary|  FixedSize2ByteAligned|       383466|             0|           11730765|                 0|         416117|           11730765|
|  lineitem|       3|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         407898|           11730765|
